quantization,inference_time,precision
int8,0.020233154296875,0.0
int8,0.019829988479614258,0.03
int8,0.02063584327697754,0.0
int8,0.020101070404052734,0.04
int8,0.02028799057006836,0.02
int8,0.0203399658203125,0.0
int8,0.020099878311157227,0.09
int8,0.02020716667175293,0.01
int8,0.020058155059814453,0.0
int8,0.01995682716369629,0.0
int8,0.020267963409423828,0.02
int8,0.02044820785522461,0.0
int8,0.020102977752685547,0.04
int8,0.019868850708007812,0.0
int8,0.020036935806274414,0.0
int8,0.020195960998535156,0.08
int8,0.02052903175354004,0.0
int8,0.020400047302246094,0.01
int8,0.019937992095947266,0.02
int8,0.02049088478088379,0.02
int8,0.02016305923461914,0.11
int8,0.020387887954711914,0.01
int8,0.02020096778869629,0.01
int8,0.019888877868652344,0.0
int8,0.019882917404174805,0.0
int8,0.0204010009765625,0.0
int8,0.019880056381225586,0.16
int8,0.019855976104736328,0.0
int8,0.02116990089416504,0.02
int8,0.020678043365478516,0.1
int8,0.0203399658203125,0.06
int8,0.02001190185546875,0.19
int8,0.019943952560424805,0.09
int8,0.020015954971313477,0.0
int8,0.01980900764465332,0.0
int8,0.020219087600708008,0.13
int8,0.02004694938659668,0.03
int8,0.020048141479492188,0.0
int8,0.019995927810668945,0.0
int8,0.01985311508178711,0.0
int8,0.02039313316345215,0.14
int8,0.020514965057373047,0.0
int8,0.02027297019958496,0.03
int8,0.020138025283813477,0.03
int8,0.020048856735229492,0.01
int8,0.02042102813720703,0.03
int8,0.02002692222595215,0.07
int8,0.01993083953857422,0.09
int8,0.020004987716674805,0.05
int8,0.01983785629272461,0.1
int8,0.020221948623657227,0.0
int8,0.019942045211791992,0.0
int8,0.01992511749267578,0.06
int8,0.020190000534057617,0.0
int8,0.019988059997558594,0.0
int8,0.020205974578857422,0.0
int8,0.02055215835571289,0.0
int8,0.020155906677246094,0.04
int8,0.019961118698120117,0.0
int8,0.019667863845825195,0.0
int8,0.02071404457092285,0.09
int8,0.02019190788269043,0.0
int8,0.020071029663085938,0.0
int8,0.020220041275024414,0.02
int8,0.020290851593017578,0.17
int8,0.020335912704467773,0.0
int8,0.020011186599731445,0.02
int8,0.020016193389892578,0.0
int8,0.020038127899169922,0.02
int8,0.019862890243530273,0.0
int8,0.020474910736083984,0.0
int8,0.020548105239868164,0.06
int8,0.020195960998535156,0.16
int8,0.020122051239013672,0.01
int8,0.020159006118774414,0.0
int8,0.020089149475097656,0.0
int8,0.020595073699951172,0.09
int8,0.020126819610595703,0.0
int8,0.020097970962524414,0.15
int8,0.020100116729736328,0.05
int8,0.0204620361328125,0.0
int8,0.02000713348388672,0.13
int8,0.020027875900268555,0.0
int8,0.01999688148498535,0.0
int8,0.020071029663085938,0.0
int8,0.020491838455200195,0.15
int8,0.020101070404052734,0.01
int8,0.02042222023010254,0.02
int8,0.020164966583251953,0.12
int8,0.020181894302368164,0.04
int8,0.019989967346191406,0.02
int8,0.020474910736083984,0.0
int8,0.020014047622680664,0.0
int8,0.020459890365600586,0.0
int8,0.020231008529663086,0.0
int8,0.02050018310546875,0.0
int8,0.02008199691772461,0.05
int8,0.019930124282836914,0.0
int8,0.020029067993164062,0.0
int8,0.020021915435791016,0.0
int8,0.02031993865966797,0.0
int8,0.020364999771118164,0.0
